image_path,text
all/0.png,put down a resolution on the subject
all/1.png,and he is to be backed by Mr. Will
all/2.png,nominating any more Labour life Peers
all/3.png,M Ps tomorrow. Mr. Michael Foot has
all/4.png,"Griffiths, M P for Manchester Exchange ."
all/5.png,is to be made at a meeting of Labour
all/6.png,A MOVE to stop Mr. Gaitskell from
all/7.png,0M P for Manchester Exchange .
all/8.png,A MOVE to stop Mr. Gaitskell from nominating
all/9.png,meeting of Labour 0M Ps tommorow . Mr. Michael
all/10.png,any more Labour life Peers is to be made at a
all/11.png,Foot has put down a resolution on the subject
all/12.png,"and he is to be backed by Mr. Will Griffiths ,"
all/13.png,"which would appear to "" prop up "" an out-dated"
all/14.png,"Though they may gather some Left-wing support , a"
all/15.png,"life peers into existence , they should not"
all/16.png,and that Labour should not take any steps
all/17.png,now put forward nominees . He believes
all/18.png,large majority of Labour M Ps are likely to
all/19.png,that the House of Lords should be abolished
all/20.png,institution .
all/21.png,opposed the Government Bill which brought
all/22.png,turn down the Foot-Griffiths resolution . Mr.
all/23.png,Foot's line will be that as Labour M Ps
all/24.png,"into existence , they should not now put"
all/25.png,Though they may gather some Left-wing
all/26.png,"which would appear to "" prop up "" an out-"
all/27.png,House of Lords should be abolished and
all/28.png,M Ps are likely to turn down the Foot-
all/29.png,that Labour should not take any steps
all/30.png,be that as Labour M Ps opposed the
all/31.png,forward nominees . He believes that the
all/32.png,Government Bill which brought life peers
all/33.png,Griffiths resolution . Mr. Foot's line will
all/34.png,"support , a large majority of Labour"
all/35.png,will be that as Labour 0M Ps opposed the Govern-
all/36.png,that Labour should not take any steps which would
all/37.png,"appear to "" prop up "" an out-dated institution ."
all/38.png,large majority of Labour 0m Ps are likely to turn
all/39.png,that the House of Lords should be abolished and
all/40.png,"Though they may gather some Left-wing support , a"
all/41.png,down the Foot-Griffiths resolution . Mr. Foot's line
all/42.png,"ment Bill which brought life peers into existence , they"
all/43.png,should not now put forward nominees . He believes
all/44.png,get together to face the challenge from Sir
all/45.png,members . THE two rival African Nationalist
all/46.png,"Roy Welensky , the Federal Premier ."
all/47.png,Parties of Northern Rhodesia have agreed to
all/48.png,Peeresses have been created . Most Labour
all/49.png,Labour has to have an adequate number of
all/50.png,sentiment would # still favour the abolition
all/51.png,"of the House of Lords , but while it remains"
all/52.png,"Since 1958 , 13 Labour life Peers and"
all/53.png,of members . THE two rival African
all/54.png,Peeresses have been created . Most Labour
all/55.png,"the challenge from Sir Roy Welensky ,"
all/56.png,"of the House of Lords , but while it remains"
all/57.png,have agreed to get together to face
all/58.png,"Since 1958 , 13 Labour life Peers and"
all/59.png,the Federal Premier .
all/60.png,Labour has to have an adequate number
all/61.png,Nationalist Parties of Northern Rhodesia
all/62.png,sentiment would still favour the abolition
all/63.png,Peeresses have been created . Most Labour sentiment
all/64.png,"Since 1958 , 13 Labour life Peers and #"
all/65.png,"of Lords , but while it remains Labour has to"
all/66.png,"challenge from Sir Roy Welensky , the Federal Premier ."
all/67.png,two rival African Nationalist Parties of Northern
all/68.png,would still favour the abolition of the House
all/69.png,have an adequate number of members . THE
all/70.png,Rhodesia have agreed to get together to face the
all/71.png,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African"
all/72.png,to discuss a common course of action . Sir Roy is
all/73.png,Delegates from Mr. Kenneth Kaunda's United National Independence
all/74.png,violently opposed to Africans getting an elected majority
all/75.png,"in Northern Rhodesia , but the Colonial Secretary ,"
all/76.png,"National Congress ( 400,000 ) will meet in London today"
all/77.png,"Mr. Iain Macleod , is insisting on a policy of change ."
all/78.png,Delegates from Mr. Kenneth Kaunda's
all/79.png,"( 280,000 members ) and Mr. Harry Nkumbula's"
all/80.png,"majority in Northern Rhodesia , but the"
all/81.png,"African National Congress ( 400,000 ) will"
all/82.png,meet in London today to discuss a common
all/83.png,United National Independence Party
all/84.png,"Colonial Secretary , Mr. Iain Macleod ,"
all/85.png,course of action . Sir Roy is violently
all/86.png,is insisting on a policy of change .
all/87.png,opposed to Africans getting an elected
all/88.png,"Rhodesia , but the Colonial Secretary , Mr. Iain"
all/89.png,getting an elected majority in Northern
all/90.png,"National Independence Party ( 280,000 members )"
all/91.png,"Congress ( 400,000 ) will meet in London today"
all/92.png,to discuss a common course of action .
all/93.png,"Macleod , is insisting on a policy of change ."
all/94.png,and Mr. Harry Nkumbula's African National
all/95.png,Delegates from Mr. Kenneth Kaunda's United
all/96.png,Sir Roy is violently opposed to Africans
all/97.png,"chief aide , Mr. Julius Greenfield , telephoned"
all/98.png,his chief a report on his talks with
all/99.png,the talks fall through . There are bound
all/100.png,"to be demonstrations . "" Yesterday Sir Roy's"
all/101.png,future . Said Mr. Nkumbula last night :
all/102.png,Mr. Macmillan at Chequers .
all/103.png,""" We want to discuss what to do if the"
all/104.png,Sir Roy's United Federal Party is boycotting
all/105.png,the London talks on the Protectorate's
all/106.png,British Government gives in to Sir Roy and
all/107.png,boycotting the London talks on the
all/108.png,"do if the British demonstrations . """
all/109.png,Sir Roy's United Federal Party is
all/110.png,Protectorate's future . Said Mr. Nkumbula
all/111.png,at Chequers .
all/112.png,"Yesterday Sir Roy's chief aide , Mr."
all/113.png,a report on his talks with Mr. Macmillan
all/114.png,"Julius Greenfield , telephoned his chief"
all/115.png,"last night : "" We want to discuss what to"
all/116.png,British Government gives in to Sir Roy
all/117.png,and the talks fall through . There are bound
all/118.png,future . Said Mr. Nkumbula last night :
all/119.png,the London talks on the Protectorate's
all/120.png,"chief aide , Mr. Julius Greenfield , telephoned"
all/121.png,Macmillan at Chequers .
all/122.png,""" We want to discuss what to do if the"
all/123.png,Sir Roy's United Federal Party is boycotting
all/124.png,his chief a report on his talks with Mr.
all/125.png,"to be demonstrations . "" Yesterday Sir Roy's"
all/126.png,to the Africans and Liberals attending . These
all/127.png,will meet to discuss the function of a
all/128.png,majority they are seeking . African delegates
all/129.png,are studying them today . The conference
all/130.png,plans do not give the Africans the overall
all/131.png,proposed House of Chiefs .
all/132.png,Lancaster House despite the crisis which had
all/133.png,Mr. Macleod went on with the conference at
all/134.png,blown up . He has now revealed his full plans
all/135.png,Mr. Macleod went on with the conference
all/136.png,at Lancaster House despite the crisis
all/137.png,them today . The conference will meet
all/138.png,attending . These plans do not give the
all/139.png,Africans the overall majority they are
all/140.png,House of Chiefs .
all/141.png,seeking . African delegates are studying
all/142.png,to discuss the function of a proposed
all/143.png,which had blown up . He has now revealed
all/144.png,his full plans to the Africans and Liberals
all/145.png,studying them today . The conference will meet
all/146.png,to discuss the function of a proposed House
all/147.png,blown up . He has now revealed his full plans
all/148.png,to the Africans and Liberals attending . These
all/149.png,plans do not give the Africans the overall majo-
all/150.png,rity they are seeking . African delegates are
all/151.png,Mr. Macleod went on with the conference at
all/152.png,Lancaster House despite the crisis which had
all/153.png,of Chiefs .
all/154.png,secret negotiations on Northern Rhodesia's future .
all/155.png,"Minister of the Central African Federation , went"
all/156.png,in the Commons last night that there have been
all/157.png,to Chequers at the week-end for talks with
all/158.png,"MR. IAIN MACLEOD , the Colonial Secretary , denied"
all/159.png,"But representatives of Sir Roy Welensky , Prime"
all/160.png,The Northern Rhodesia conference in London has
all/161.png,Mr. Macmillan .
all/162.png,been boycotted by the two main settlers' parties -
all/163.png,the United Federal Party and the Dominion Party .
all/164.png,boycotted by the two main settlers' parties -
all/165.png,there have been secret negotiations on
all/166.png,Party . But representatives of Sir Roy
all/167.png,Rhodesia conference in London has been
all/168.png,the week-end for talks with Mr. Macmillan .
all/169.png,the United Federal Party and the Dominion
all/170.png,denied in the Commons last night that
all/171.png,"Welensky , Prime Minister of the Central"
all/172.png,"African Federation , went to Chequers at"
all/173.png,Northern Rhodesia's future . The Northern
all/174.png,"MR. IAIN MACLEOD , the Colonial Secretary ,"
all/175.png,in the Commons last night that there have
all/176.png,"Central African Federation , went to Chequers"
all/177.png,"Mr. Iain Macleod , the Colonial Secretary , denied"
all/178.png,future . The Northern Rhodesia conference in
